Franchise,Country,Creation Date,Revenue (Billion USD),Number of Platforms,Month,Interest Value
Hamtaro,Japan,1997,3.02,3,2014-05-01,0
Wizarding World (Harry Potter),US,1997,34.7,87,2014-05-01,2
Hello Kitty,Japan,1974,33.5,7,2014-05-01,1
James Bond,US,1953,9.75,135,2014-05-01,1
Jurassic Park,US,1990,10.1,106,2014-05-01,0
Kumamon,Japan,2010,2.36,,2014-05-01,0
Looney Tunes,US,1930,17.46,80,2014-05-01,0
Marvel Cinematic Universe (Mcu),US,2008,35.2,224,2014-05-01,1
Monster Strike,Japan,2013,10.0,34,2014-05-01,1
Neon Genesis Evangelion,Japan,1994,2.0,31,2014-05-01,0
Paw Patrol,US,2013,15.4,95,2014-05-01,0
Pac-Man,Japan,1980,15.43,8,2014-05-01,1
Peanuts,US,1950,14.4,51,2014-05-01,0
Power Rangers,Japan,1975,8.67,61,2014-05-01,1
Resident Evil (Biohazard),Japan,1996,2.0,102,2014-05-01,1
Rilakkuma,Japan,2003,10.0,,2014-05-01,0
Sailor Moon,Japan,1991,2.5,16,2014-05-01,0
Sonic The Hedgehog,Japan,1991,7.37,108,2014-05-01,1
Space Invaders,Japan,1978,13.9,46,2014-05-01,0
Spider-Man,US,1962,26.8,107,2014-05-01,4
Spongebob Squarepants,US,1999,16.6,83,2014-05-01,2
Star Trek,US,1966,11.2,106,2014-05-01,0
Star Wars,US,1977,46.7,60,2014-05-01,2
Street Fighter,Japan,1987,10.7,103,2014-05-01,0
Super Mario,Japan,1981,8.75,93,2014-05-01,5
Teenage Mutant Ninja Turtles,US,1984,17.4,114,2014-05-01,0
Avengers,US,1963,14.3,78,2014-05-01,1
The Lion King,US,1994,15.9,63,2014-05-01,1
Toy Story,US,1995,14.8,40,2014-05-01,0
Ultraman,Japan,1966,7.4,49,2014-05-01,0
Warcraft,US,1994,12.4,51,2014-05-01,4
Yo-kai Watch,Japan,2013,2.09,18,2014-05-01,0
Yu-Gi-Oh!,Japan,1996,5.42,34,2014-05-01,0
Angry Birds,US,2009,9.54,76,2014-06-01,1
Anpanman,Japan,1973,38.4,13,2014-06-01,0
Astro Boy,Japan,1952,3.0,32,2014-06-01,0
Barbie,US,1987,36.3,73,2014-06-01,6
Beyblade,Japan,1999,4.6,1,2014-06-01,0
Batman,US,1939,29.9,117,2014-06-01,2
Call Of Duty,US,2003,31.0,28,2014-06-01,3
Candy Crush,US,2012,20.0,0,2014-06-01,3
Cars,US,2006,21.5,89,2014-06-01,0
Demon Slayer: Kimetsu No Yaiba,Japan,2016,10.0,47,2014-06-01,0
Despicable Me (Minions),US,2010,12.3,108,2014-06-01,1
Disney Princess,US,2000,45.4,247,2014-06-01,0
Dora The Explorer,US,2000,15.8,67,2014-06-01,1
Dragon Ball,Japan,1984,10.7,50,2014-06-01,4
Fate (Fate/Stay Night),Japan,2004,7.0,29,2014-06-01,0
Frozen,US,2013,13.9,107,2014-06-01,5
Godzilla (Gojira),Japan,1954,2.63,139,2014-06-01,1
Gran Turismo,Japan,1997,4.1,52,2014-06-01,0
Grand Theft Auto (Gta),US,1997,10.0,26,2014-06-01,13
